Data,Split,Model,RMSE,MAE,R2_test,R2_train,Overfit_gap
Raw,80:20,KNN,2118.24,1613.63,0.7947,0.8974,0.1027
Raw,80:20,Linear,1169.21,895.37,0.9375,0.9459,0.0085
Raw,80:20,MLP,1305.36,1032.19,0.922,0.9585,0.0365
Raw,70:30,KNN,1966.24,1495.91,0.8088,0.8957,0.0868
Raw,70:30,Linear,1146.44,881.75,0.935,0.9474,0.0124
Raw,70:30,MLP,1364.52,1059.08,0.9079,0.9411,0.0331
Raw,60:40,KNN,2011.22,1518.65,0.8083,0.898,0.0897
Raw,60:40,Linear,1177.62,901.27,0.9343,0.9492,0.015
Raw,60:40,MLP,1630.28,1240.98,0.874,0.9262,0.0521
PCA,80:20,KNN,2242.16,1702.36,0.77,0.8697,0.0997
PCA,80:20,Linear,2263.32,1809.31,0.7656,0.7987,0.0331
PCA,80:20,MLP,2226.16,1747.61,0.7732,0.8179,0.0447
PCA,70:30,KNN,2201.77,1657.05,0.7603,0.8711,0.1108
PCA,70:30,Linear,2183.86,1728.38,0.7642,0.8034,0.0392
PCA,70:30,MLP,2064.88,1573.94,0.7892,0.8378,0.0486
PCA,60:40,KNN,2205.03,1632.25,0.7696,0.8817,0.1121
PCA,60:40,Linear,2179.8,1713.39,0.7748,0.8028,0.028
PCA,60:40,MLP,2104.93,1579.18,0.79,0.8376,0.0476
